,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
0,2023-08-24 16:00:00,25996.35000000,26163.00000000,25994.00000000,26115.00000000,1659.23355000,1692896399999,43278891.75613250,33145,874.81689000,22815323.21193680,0
1,2023-08-24 17:00:00,26114.99000000,26120.00000000,25864.00000000,26059.99000000,2470.31935000,1692899999999,64241107.93161780,40229,1094.82022000,28468371.81216830,0
2,2023-08-24 18:00:00,26059.99000000,26074.22000000,25976.74000000,26021.25000000,1207.40905000,1692903599999,31411136.16274800,24433,531.47161000,13825255.86347990,0
3,2023-08-24 19:00:00,26021.26000000,26137.99000000,26007.19000000,26039.44000000,1101.42644000,1692907199999,28708597.03785250,25068,573.90384000,14958109.02187670,0
4,2023-08-24 20:00:00,26039.44000000,26106.60000000,25936.01000000,26031.99000000,1326.22896000,1692910799999,34511567.03828310,30948,614.34295000,15984370.90932540,0
5,2023-08-24 21:00:00,26031.98000000,26095.85000000,26021.46000000,26095.00000000,626.12112000,1692914399999,16320639.96387560,17788,302.89922000,7894821.37095250,0
6,2023-08-24 22:00:00,26095.00000000,26132.71000000,26088.03000000,26119.71000000,555.33443000,1692917999999,14499448.41519600,14286,250.20496000,6532741.25668500,0
7,2023-08-24 23:00:00,26119.71000000,26207.15000000,26066.00000000,26180.05000000,881.77965000,1692921599999,23053546.11557960,18336,466.01905000,12185934.71734850,0
8,2023-08-25 00:00:00,26180.05000000,26187.34000000,26120.94000000,26138.63000000,633.99930000,1692925199999,16580331.47219480,16996,241.18770000,6306866.83237190,0
9,2023-08-25 01:00:00,26138.64000000,26152.83000000,26090.94000000,26148.76000000,667.46835000,1692928799999,17435195.21023360,16134,294.32246000,7688802.97151220,0
10,2023-08-25 02:00:00,26148.76000000,26178.92000000,26121.71000000,26130.96000000,493.87203000,1692932399999,12915331.68648990,14188,212.19011000,5549410.44371840,0
11,2023-08-25 03:00:00,26130.95000000,26141.82000000,26011.41000000,26106.00000000,981.73302000,1692935999999,25605147.10880320,20499,448.78350000,11704257.08900400,0
12,2023-08-25 04:00:00,26106.00000000,26111.11000000,26026.00000000,26026.08000000,623.28978000,1692939599999,16243848.60711600,18415,281.45471000,7334712.05269060,0
13,2023-08-25 05:00:00,26026.08000000,26079.14000000,26007.63000000,26059.99000000,531.19469000,1692943199999,13833130.59845770,14226,241.18598000,6280759.83532240,0
14,2023-08-25 06:00:00,26059.99000000,26060.00000000,25990.49000000,26015.37000000,1029.46226000,1692946799999,26789641.16218020,19640,390.16898000,10151960.90730050,0
15,2023-08-25 07:00:00,26015.38000000,26064.99000000,25974.22000000,25980.50000000,1252.02021000,1692950399999,32581734.08792390,23612,652.41093000,16977966.03011870,0
16,2023-08-25 08:00:00,25980.50000000,26108.00000000,25980.49000000,26093.51000000,968.33897000,1692953999999,25240966.81659500,21606,509.54468000,13278686.70527040,0
17,2023-08-25 09:00:00,26093.50000000,26128.75000000,26078.67000000,26079.98000000,906.00622000,1692957599999,23647841.43203370,22268,494.99220000,12920522.26757260,0
18,2023-08-25 10:00:00,26079.99000000,26111.88000000,26074.15000000,26088.01000000,575.56778000,1692961199999,15021690.85176650,16440,230.08294000,6004508.80977800,0
19,2023-08-25 11:00:00,26088.00000000,26110.70000000,26083.22000000,26096.40000000,474.87025000,1692964799999,12393035.58775590,15852,170.41729000,4447250.96442550,0
20,2023-08-25 12:00:00,26096.41000000,26145.00000000,26096.40000000,26108.69000000,560.12426000,1692968399999,14629687.28697050,17660,283.37487000,7401749.47970840,0
